pando , 1292019 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-discrete --env=Swimmer-v2 
pando , 1292020 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-discrete --env=Hopper-v2 
pando , 1292021 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=InvertedPendulum-v2 
pando , 1292022 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=Walker2d-v2 
pando , 1292023 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=HalfCheetah-v2 
pando , 1292024 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=InvertedDoublePendulum-v2 
pando , 1292025 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-discrete --env=Swimmer-v2 
pando , 1292026 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-discrete --env=Hopper-v2 
pando , 1292027 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=InvertedPendulum-v2 
pando , 1292028 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.01 --pop_per_cpu=2 --net=mujoco-light --env=Walker2d-v2 
pando , 1292029 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=HalfCheetah-v2 
pando , 1292030 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=InvertedDoublePendulum-v2 
pando , 1292031 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-discrete --env=Swimmer-v2 
pando , 1292032 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-discrete --env=Hopper-v2 
pando , 1292033 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=InvertedPendulum-v2 
pando , 1292034 , --save_freq=50 --preset pando mujoco openai --tag=weight_decay --es_sigma=0.02 --es_wd=0.1 --pop_per_cpu=2 --net=mujoco-light --env=Walker2d-v2 
pando , 1292042 , --net=mujoco-light --env=HalfCheetah-v2 --es_wd=0.001 
pando , 1292043 , --net=mujoco-light --env=InvertedDoublePendulum-v2 --es_wd=0.001 
pando , 1292044 , --net=mujoco-discrete --env=Swimmer-v2 --es_wd=0.001 
pando , 1292045 , --net=mujoco-discrete --env=Hopper-v2 --es_wd=0.001 
pando , 1292046 , --net=mujoco-light --env=InvertedPendulum-v2 --es_wd=0.001 
pando , 1292047 , --net=mujoco-light --env=Walker2d-v2 --es_wd=0.001 
pando , 1292048 , --net=mujoco-light --env=HalfCheetah-v2 --es_wd=0.01 
pando , 1292049 , --net=mujoco-light --env=InvertedDoublePendulum-v2 --es_wd=0.01 
pando , 1292050 , --net=mujoco-discrete --env=Swimmer-v2 --es_wd=0.01 
pando , 1292051 , --net=mujoco-discrete --env=Hopper-v2 --es_wd=0.01 
pando , 1292052 , --net=mujoco-light --env=InvertedPendulum-v2 --es_wd=0.01 
pando , 1292053 , --net=mujoco-light --env=Walker2d-v2 --es_wd=0.01 
pando , 1292054 , --net=mujoco-light --env=HalfCheetah-v2 --es_wd=0.1 
pando , 1292055 , --net=mujoco-light --env=InvertedDoublePendulum-v2 --es_wd=0.1 
pando , 1292056 , --net=mujoco-discrete --env=Swimmer-v2 --es_wd=0.1 
pando , 1292057 , --net=mujoco-discrete --env=Hopper-v2 --es_wd=0.1 
pando , 1292058 , --net=mujoco-light --env=InvertedPendulum-v2 --es_wd=0.1 
pando , 1292059 , --net=mujoco-light --env=Walker2d-v2 --es_wd=0.1 
calmip , 796193 , --net=canonical --env=Pong-v0 --es_wd=0.001 --es_sigma=0.02 --es_lr=0.01 --es_momentum=0.9 
pando , 1292364 , --net=mujoco-light --env=HalfCheetah-v2 --tag=no_momentum --es_lr=0.01 --es_sigma=0.02 --es_wd=0.001 --es_momentum=0 
pando , 1292365 , --net=mujoco-light --env=InvertedDoublePendulum-v2 --tag=no_momentum --es_lr=0.01 --es_sigma=0.02 --es_wd=0.001 --es_momentum=0 
pando , 1292366 , --net=mujoco-discrete --env=Swimmer-v2 --tag=no_momentum --es_lr=0.01 --es_sigma=0.02 --es_wd=0.001 --es_momentum=0 
pando , 1292367 , --net=mujoco-discrete --env=Hopper-v2 --tag=no_momentum --es_lr=0.01 --es_sigma=0.02 --es_wd=0.001 --es_momentum=0 
calmip , 796496 , --net=canonical --env=Pong-v0 --tag=weight_decay --es_wd=0.001 --es_sigma=0.02 --es_lr=0.01 --es_momentum=0.9 
pando , 1292368 , --net=mujoco-light --env=InvertedPendulum-v2 --tag=no_momentum --es_lr=0.01 --es_sigma=0.02 --es_wd=0.001 --es_momentum=0 
pando , 1292369 , --net=mujoco-light --env=Walker2d-v2 --tag=no_momentum --es_lr=0.01 --es_sigma=0.02 --es_wd=0.001 --es_momentum=0 
calmip , 796519 , --net=canonical --env=Pong-v0 --tag=weight_decay --es_wd=0.001 --es_sigma=0.02 --es_lr=0.01 --es_momentum=0.9 
pando ,  , --net=canonical --env=Pong-v0 --tag=weight_decay --es_wd=0.001 --es_sigma=0.02 --es_lr=0.01 --es_momentum=0.9 
pando , 1292377 , --net=canonical --env=Pong-v0 --tag=weight_decay --es_wd=0.001 --es_sigma=0.02 --es_lr=0.01 --es_momentum=0.9 
calmip , 813436 , --env=Pong-v0 --tag=canonical_paper 
calmip , 813437 , --env=Alien-v0 --tag=canonical_paper 
calmip , 813438 , --env=BeamRider-v0 --tag=canonical_paper 
calmip , 813439 , --env=Breakout-v0 --tag=canonical_paper 
calmip , 813440 , --env=Enduro-v0 --tag=canonical_paper 
calmip , 813441 , --env=Qbert-v0 --tag=canonical_paper 
calmip , 813442 , --env=Seaquest-v0 --tag=canonical_paper 
calmip , 813443 , --env=SpaceInvaders-v0 --tag=canonical_paper 
calmip , 813450 , --env=Pong-v0 --tag=canonical_paper 
calmip , 813451 , --env=Alien-v0 --tag=canonical_paper 
calmip , 813452 , --env=BeamRider-v0 --tag=canonical_paper 
calmip , 813453 , --env=Breakout-v0 --tag=canonical_paper 
calmip , 813454 , --env=Enduro-v0 --tag=canonical_paper 
calmip , 813455 , --env=Qbert-v0 --tag=canonical_paper 
calmip , 813456 , --env=Seaquest-v0 --tag=canonical_paper 
calmip , 813457 , --env=SpaceInvaders-v0 --tag=canonical_paper 
calmip , 815734 , --env=Pong-v0 --tag=openai_paper 
calmip , 815735 , --env=Alien-v0 --tag=openai_paper 
calmip , 815736 , --env=BeamRider-v0 --tag=openai_paper 
calmip , 815737 , --env=Breakout-v0 --tag=openai_paper 
calmip , 815738 , --env=Enduro-v0 --tag=openai_paper 
calmip , 815739 , --env=Qbert-v0 --tag=openai_paper 
calmip , 815740 , --env=Seaquest-v0 --tag=openai_paper 
calmip , 815741 , --env=SpaceInvaders-v0 --tag=openai_paper 
pando ,  , --env=leaper --tag=procgen --n_evaluations=1 
pando ,  , --env=bossfight --tag=procgen --n_evaluations=1 
pando ,  , --env=bigfish --tag=procgen --n_evaluations=1 
pando ,  , --env=starpilot --tag=procgen --n_evaluations=1 
pando , 1301695 , --env=leaper --tag=procgen --n_evaluations=1 
pando , 1301696 , --env=bossfight --tag=procgen --n_evaluations=1 
pando , 1301697 , --env=bigfish --tag=procgen --n_evaluations=1 
pando , 1301698 , --env=starpilot --tag=procgen --n_evaluations=1 
pando , 1301699 , --env=leaper --tag=procgen --n_evaluations=5 
pando , 1301700 , --env=bossfight --tag=procgen --n_evaluations=5 
pando , 1301701 , --env=bigfish --tag=procgen --n_evaluations=5 
pando , 1301702 , --env=starpilot --tag=procgen --n_evaluations=5 
calmip , 817775 , --env=Alien-v0 --tag=big_noise  --seed=0 
calmip , 817776 , --env=BeamRider-v0 --tag=big_noise  --seed=0 
calmip , 817777 , --env=Breakout-v0 --tag=big_noise  --seed=0 
calmip , 817778 , --env=Enduro-v0 --tag=big_noise  --seed=0 
calmip , 817779 , --env=Qbert-v0 --tag=big_noise  --seed=0 
calmip , 817780 , --env=Seaquest-v0 --tag=big_noise  --seed=0 
calmip , 817781 , --env=SpaceInvaders-v0 --tag=big_noise  --seed=0 
calmip , 817782 , --env=Alien-v0 --tag=big_noise  --seed=1 
calmip , 817783 , --env=BeamRider-v0 --tag=big_noise  --seed=1 
calmip , 817784 , --env=Breakout-v0 --tag=big_noise  --seed=1 
calmip , 817785 , --env=Enduro-v0 --tag=big_noise  --seed=1 
calmip , 817786 , --env=Qbert-v0 --tag=big_noise  --seed=1 
calmip , 817787 , --env=Seaquest-v0 --tag=big_noise  --seed=1 
calmip , 817788 , --env=SpaceInvaders-v0 --tag=big_noise  --seed=1 
calmip , 817789 , --env=Alien-v0 --tag=big_noise  --seed=2 
calmip , 817790 , --env=BeamRider-v0 --tag=big_noise  --seed=2 
calmip , 817791 , --env=Breakout-v0 --tag=big_noise  --seed=2 
calmip , 817792 , --env=Enduro-v0 --tag=big_noise  --seed=2 
calmip , 817793 , --env=Qbert-v0 --tag=big_noise  --seed=2 
calmip , 817794 , --env=Seaquest-v0 --tag=big_noise  --seed=2 
calmip , 817795 , --env=SpaceInvaders-v0 --tag=big_noise  --seed=2 
pando , 1301975 , --env=leaper --tag=procgen --n_evaluations=1 
pando , 1301976 , --env=bossfight --tag=procgen --n_evaluations=1 
pando , 1301977 , --env=bigfish --tag=procgen --n_evaluations=1 
pando , 1301978 , --env=starpilot --tag=procgen --n_evaluations=1 
pando , 1301979 , --env=leaper --tag=procgen --n_evaluations=5 
pando , 1301980 , --env=bossfight --tag=procgen --n_evaluations=5 
pando , 1301981 , --env=bigfish --tag=procgen --n_evaluations=5 
pando , 1301982 , --env=starpilot --tag=procgen --n_evaluations=5 
calmip , 820619 , --env=Breakout-v0 --eval_freq=5 --tag=canonical_paper  --seed=0 
calmip , 820620 , --env=Breakout-v0 --eval_freq=5 --tag=canonical_paper  --seed=1 
calmip , 820621 , --env=Breakout-v0 --eval_freq=5 --tag=canonical_paper  --seed=2 
calmip , 820623 , --env=Breakout-v0 --eval_freq=5 --tag=canonical_paper  --seed=0 
calmip , 820624 , --env=Breakout-v0 --eval_freq=5 --tag=canonical_paper  --seed=1 
calmip , 820625 , --env=Breakout-v0 --eval_freq=5 --tag=canonical_paper  --seed=2 
calmip , 820978 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=0 
calmip , 820979 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=1 
calmip , 820980 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=2 
calmip , 820982 , --env=BeamRider-v0 --eval_freq=5 --tag=canonical_paper  --seed=3 
calmip , 821495 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=0 
calmip , 821496 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=1 
calmip , 821497 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=2 
calmip , 821524 , --env=Breakout-v0 --eval_freq=5 --tag=openAI_paper  --seed=3 
calmip , 821525 , --env=BeamRider-v0 --eval_freq=5 --tag=canonical_paper  --seed=3 
pando , 1302847 , --env=leaper --preset=pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302848 , --env=bossfight --preset=pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302849 , --env=bigfish --preset=pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302850 , --env=starpilot --preset=pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302851 , --env=bigfish --single_seed --preset=pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302852 , --env=leaper --preset=pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302853 , --env=bossfight --preset=pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302854 , --env=bigfish --preset=pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302855 , --env=starpilot --preset=pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302856 , --env=bigfish --single_seed --preset=pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302857 , --env=leaper --preset=pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302858 , --env=bossfight --preset=pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302859 , --env=bigfish --preset=pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302860 , --env=starpilot --preset=pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302861 , --env=bigfish --single_seed --preset=pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302862 , --env=leaper --preset=pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302863 , --env=bossfight --preset=pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302864 , --env=bigfish --preset=pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302865 , --env=starpilot --preset=pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302866 , --env=bigfish --single_seed --preset=pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302872 , --env=leaper --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302873 , --env=leaper --preset pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302874 , --env=leaper --preset pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302875 , --env=leaper --preset pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302877 , --env=leaper --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302878 , --env=bossfight --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302879 , --env=bigfish --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302880 , --env=starpilot --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302881 , --env=bossfight --single_seed --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1302882 , --env=leaper --preset pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302883 , --env=bossfight --preset pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302884 , --env=bigfish --preset pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302885 , --env=starpilot --preset pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302886 , --env=bossfight --single_seed --preset pando procgen openai --tag=procgen --n_evaluations=1 
pando , 1302887 , --env=leaper --preset pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302888 , --env=bossfight --preset pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302889 , --env=bigfish --preset pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302890 , --env=starpilot --preset pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302891 , --env=bossfight --single_seed --preset pando procgen canonical --tag=procgen --n_evaluations=5 
pando , 1302892 , --env=leaper --preset pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302893 , --env=bossfight --preset pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302894 , --env=bigfish --preset pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302895 , --env=starpilot --preset pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1302896 , --env=bossfight --single_seed --preset pando procgen openai --tag=procgen --n_evaluations=5 
pando , 1303382 , --env=bigfish --single_seed --preset pando procgen canonical --tag=procgen --n_evaluations=1 
pando , 1303383 , --env=bigfish --single_seed --preset pando procgen openai --tag=procgen --n_evaluations=1 
calmip , 825710 , --env=bigfish --single_seed --preset pando procgen canonical --tag=procgen --n_evaluations=1 
calmip , 825712 , --env=bigfish --single_seed --preset calmip procgen canonical --tag=procgen --n_evaluations=1 
calmip , 825715 , --env=leaper --preset calmip procgen canonical --tag=procgen --n_evaluations=1 
calmip , 825716 , --env=leaper --preset calmip procgen openai --tag=procgen --n_evaluations=1 
calmip , 825717 , --env=leaper --preset calmip procgen canonical --tag=procgen --n_evaluations=5 
calmip , 825718 , --env=leaper --preset calmip procgen openai --tag=procgen --n_evaluations=5 
calmip , 825720 , --env=bossfight --single_seed --preset calmip procgen openai --tag=procgen --n_evaluations=1 
calmip , 825955 , --env=starpilot --single_seed --preset calmip procgen openai --tag=procgen --n_evaluations=1 
calmip , 825956 , --env=starpilot --single_seed --preset calmip procgen canonical --tag=procgen --n_evaluations=1 
pando , 1303695 , --env=starpilot --single_seed --preset pando procgen canonical --tag=procgen --n_evaluations=1 
